SITE_REFERENCE,GEO_LOCATION,MARKET_SECTOR_IDENTIFIER,ANNUAL_USAGE
WM01,WM,D,2764
SC01,SC,D,4980
SC02,SC,D,5987
WM02,WM,D,7021
SC03,SC,D,8189
WM03,WM,D,8192
SC04,SC,D,8441
WM04,WM,D,9114
WM05,WM,D,9416
WM06,WM,D,10900
WM07,WM,D,14822
SC05,SC,D,14938
SC06,SC,D,16358
WM08,WM,D,18851
WM09,WM,D,20151
SC07,SC,D,21451
WM10,WM,D,22219
WM11,WM,D,24820
SC08,SC,D,25386
WM12,WM,D,30700
SC09,SC,D,35211
SC10,SC,D,39712
SC11,SC,D,49039
SC12,SC,D,58838
WM13,WM,D,66491
SC13,SC,D,67899
WM14,WM,I,5929376
SC14,SC,I,6120194
WM15,WM,I,6151970
WM16,WM,I,6211151
WM17,WM,I,6445044
SC15,SC,I,6647321
SC16,SC,I,6668969
SC17,SC,I,6694014
SC18,SC,I,6962008
WM18,WM,I,7071230
SC19,SC,I,7326897
WM19,WM,I,7778046
SC20,SC,I,7880241
SC21,SC,I,8006855
WM20,WM,I,8773958
SC22,SC,I,9887246
SC23,SC,I,10836488
WM21,WM,I,11057895
SC24,SC,I,11552783
WM22,WM,I,11595710
WM23,WM,I,11604373
WM24,WM,I,12809828
SC25,SC,I,13737924
WM25,WM,I,14023483
