,GAS_FLOW_DAY,GEO_LOCATION,CWV,SITE_REFERENCE,MARKET_SECTOR_IDENTIFIER,ANNUAL_USAGE,ENERGY_VALUE
0,01/04/2019,SC,5.65,SC01,D,4980,0.0
1,01/04/2019,SC,5.65,SC02,D,5987,27.77
2,01/04/2019,SC,5.65,SC03,D,8189,0.0
3,01/04/2019,SC,5.65,SC04,D,8441,95.29
4,01/04/2019,SC,5.65,SC05,D,14938,45.44
5,01/04/2019,SC,5.65,SC06,D,16358,85.83
6,01/04/2019,SC,5.65,SC07,D,21451,65.0
7,01/04/2019,SC,5.65,SC08,D,25386,105.07
8,01/04/2019,SC,5.65,SC09,D,35211,159.03
9,01/04/2019,SC,5.65,SC10,D,39712,113.59
10,01/04/2019,SC,5.65,SC11,D,49039,155.88
11,01/04/2019,SC,5.65,SC12,D,58838,259.69
12,01/04/2019,SC,5.65,SC13,D,67899,235.08
13,01/04/2019,SC,5.65,SC14,I,6120194,20144.0
14,01/04/2019,SC,5.65,SC15,I,6647321,20661.0
15,01/04/2019,SC,5.65,SC16,I,6668969,24348.0
16,01/04/2019,SC,5.65,SC17,I,6694014,33407.0
17,01/04/2019,SC,5.65,SC18,I,6962008,26542.0
18,01/04/2019,SC,5.65,SC19,I,7326897,22302.0
19,01/04/2019,SC,5.65,SC20,I,7880241,31966.0
20,01/04/2019,SC,5.65,SC21,I,8006855,33668.0
21,01/04/2019,SC,5.65,SC22,I,9887246,40507.0
22,01/04/2019,SC,5.65,SC23,I,10836488,30763.0
23,01/04/2019,SC,5.65,SC24,I,11552783,43833.0
24,01/04/2019,SC,5.65,SC25,I,13737924,42272.0
25,02/04/2019,SC,5.14,SC01,D,4980,0.0
26,02/04/2019,SC,5.14,SC02,D,5987,27.31
27,02/04/2019,SC,5.14,SC03,D,8189,0.0
28,02/04/2019,SC,5.14,SC04,D,8441,28.88
29,02/04/2019,SC,5.14,SC05,D,14938,47.72
30,02/04/2019,SC,5.14,SC06,D,16358,66.55
31,02/04/2019,SC,5.14,SC07,D,21451,80.37
32,02/04/2019,SC,5.14,SC08,D,25386,98.89
33,02/04/2019,SC,5.14,SC09,D,35211,49.29
34,02/04/2019,SC,5.14,SC10,D,39712,121.18
35,02/04/2019,SC,5.14,SC11,D,49039,177.06
36,02/04/2019,SC,5.14,SC12,D,58838,208.45
37,02/04/2019,SC,5.14,SC13,D,67899,240.47
38,02/04/2019,SC,5.14,SC14,I,6120194,22208.0
39,02/04/2019,SC,5.14,SC15,I,6647321,20512.0
40,02/04/2019,SC,5.14,SC16,I,6668969,22891.0
41,02/04/2019,SC,5.14,SC17,I,6694014,29066.0
42,02/04/2019,SC,5.14,SC18,I,6962008,29971.0
43,02/04/2019,SC,5.14,SC19,I,7326897,32748.0
44,02/04/2019,SC,5.14,SC20,I,7880241,32724.0
45,02/04/2019,SC,5.14,SC21,I,8006855,36140.0
46,02/04/2019,SC,5.14,SC22,I,9887246,40408.0
47,02/04/2019,SC,5.14,SC23,I,10836488,30729.0
48,02/04/2019,SC,5.14,SC24,I,11552783,40547.0
49,02/04/2019,SC,5.14,SC25,I,13737924,41442.0
50,03/04/2019,SC,4.21,SC01,D,4980,0.0
51,03/04/2019,SC,4.21,SC02,D,5987,31.71
52,03/04/2019,SC,4.21,SC03,D,8189,0.0
53,03/04/2019,SC,4.21,SC04,D,8441,34.53
54,03/04/2019,SC,4.21,SC05,D,14938,60.9
55,03/04/2019,SC,4.21,SC06,D,16358,47.09
56,03/04/2019,SC,4.21,SC07,D,21451,96.06
57,03/04/2019,SC,4.21,SC08,D,25386,95.12
58,03/04/2019,SC,4.21,SC09,D,35211,49.29
59,03/04/2019,SC,4.21,SC10,D,39712,167.01
60,03/04/2019,SC,4.21,SC11,D,49039,209.71
61,03/04/2019,SC,4.21,SC12,D,58838,269.35
62,03/04/2019,SC,4.21,SC13,D,67899,283.17
63,03/04/2019,SC,4.21,SC14,I,6120194,21125.0
64,03/04/2019,SC,4.21,SC15,I,6647321,21188.0
65,03/04/2019,SC,4.21,SC16,I,6668969,31460.0
66,03/04/2019,SC,4.21,SC17,I,6694014,32717.0
67,03/04/2019,SC,4.21,SC18,I,6962008,28839.0
68,03/04/2019,SC,4.21,SC19,I,7326897,28895.0
69,03/04/2019,SC,4.21,SC20,I,7880241,32356.0
70,03/04/2019,SC,4.21,SC21,I,8006855,36801.0
71,03/04/2019,SC,4.21,SC22,I,9887246,43333.0
72,03/04/2019,SC,4.21,SC23,I,10836488,29900.0
73,03/04/2019,SC,4.21,SC24,I,11552783,41741.0
74,03/04/2019,SC,4.21,SC25,I,13737924,51266.0
75,04/04/2019,SC,4.56,SC01,D,4980,0.0
76,04/04/2019,SC,4.56,SC02,D,5987,19.73
77,04/04/2019,SC,4.56,SC03,D,8189,0.0
78,04/04/2019,SC,4.56,SC04,D,8441,19.1
79,04/04/2019,SC,4.56,SC05,D,14938,44.15
80,04/04/2019,SC,4.56,SC06,D,16358,24.11
81,04/04/2019,SC,4.56,SC07,D,21451,90.18
82,04/04/2019,SC,4.56,SC08,D,25386,87.36
83,04/04/2019,SC,4.56,SC09,D,35211,128.07
84,04/04/2019,SC,4.56,SC10,D,39712,127.44
85,04/04/2019,SC,4.56,SC11,D,49039,193.2
86,04/04/2019,SC,4.56,SC12,D,58838,263.96
87,04/04/2019,SC,4.56,SC13,D,67899,246.74
88,04/04/2019,SC,4.56,SC14,I,6120194,22800.0
89,04/04/2019,SC,4.56,SC15,I,6647321,22239.0
90,04/04/2019,SC,4.56,SC16,I,6668969,23329.0
