"GAS_FLOW_DAY","GEO_LOCATION","CWV"
01/04/2019,"SC",5.65
01/04/2019,"WM",8.18
02/04/2019,"SC",5.14
02/04/2019,"WM",6.47
03/04/2019,"SC",4.21
03/04/2019,"WM",5.51
04/04/2019,"SC",4.56
04/04/2019,"WM",3.93
05/04/2019,"SC",6.37
05/04/2019,"WM",6.48
06/04/2019,"SC",6.03
06/04/2019,"WM",7.27
07/04/2019,"SC",5.89
07/04/2019,"WM",8.21
08/04/2019,"SC",6.55
08/04/2019,"WM",8.91
09/04/2019,"SC",7.09
09/04/2019,"WM",8.06
10/04/2019,"SC",7.24
10/04/2019,"WM",7.52
11/04/2019,"SC",6.96
11/04/2019,"WM",7.24
12/04/2019,"SC",6.61
12/04/2019,"WM",6.74
13/04/2019,"SC",6.19
13/04/2019,"WM",6.46
14/04/2019,"SC",5.92
14/04/2019,"WM",6.03
15/04/2019,"SC",6.93
15/04/2019,"WM",7.86
16/04/2019,"SC",7.24
16/04/2019,"WM",9.06
17/04/2019,"SC",8.41
17/04/2019,"WM",10.82
18/04/2019,"SC",9.56
18/04/2019,"WM",11.87
19/04/2019,"SC",11.4
19/04/2019,"WM",13.28
20/04/2019,"SC",12.49
20/04/2019,"WM",13.6
21/04/2019,"SC",12.73
21/04/2019,"WM",13.78
22/04/2019,"SC",13.26
22/04/2019,"WM",14
23/04/2019,"SC",12.44
23/04/2019,"WM",13.69
24/04/2019,"SC",11.03
24/04/2019,"WM",12.29
25/04/2019,"SC",11.17
25/04/2019,"WM",10.7
26/04/2019,"SC",9.66
26/04/2019,"WM",10.22
27/04/2019,"SC",9.17
27/04/2019,"WM",8.31
28/04/2019,"SC",9.94
28/04/2019,"WM",9.89
29/04/2019,"SC",10.29
29/04/2019,"WM",10.44
30/04/2019,"SC",9.99
30/04/2019,"WM",11.17
01/05/2019,"SC",10.07
01/05/2019,"WM",11.47
02/05/2019,"SC",10.15
02/05/2019,"WM",10.74
03/05/2019,"SC",8.85
03/05/2019,"WM",9.76
04/05/2019,"SC",8.38
04/05/2019,"WM",8.76
05/05/2019,"SC",8.01
05/05/2019,"WM",9
06/05/2019,"SC",7.95
06/05/2019,"WM",9.36
07/05/2019,"SC",7.39
07/05/2019,"WM",10.42
08/05/2019,"SC",6.87
08/05/2019,"WM",9.42
09/05/2019,"SC",8.38
09/05/2019,"WM",8.79
10/05/2019,"SC",8.6
10/05/2019,"WM",9.71
11/05/2019,"SC",9.13
11/05/2019,"WM",10.49
12/05/2019,"SC",9.96
12/05/2019,"WM",11.46
13/05/2019,"SC",11.11
13/05/2019,"WM",12.4
14/05/2019,"SC",12.5
14/05/2019,"WM",13.4
15/05/2019,"SC",13.25
15/05/2019,"WM",13.57
16/05/2019,"SC",13.04
16/05/2019,"WM",13.16
17/05/2019,"SC",12.97
17/05/2019,"WM",12.39
18/05/2019,"SC",11.55
18/05/2019,"WM",12.55
19/05/2019,"SC",11.55
19/05/2019,"WM",12.82
20/05/2019,"SC",11.77
20/05/2019,"WM",13.08
21/05/2019,"SC",12.09
21/05/2019,"WM",13.3
22/05/2019,"SC",11.45
22/05/2019,"WM",13.63
23/05/2019,"SC",10.88
23/05/2019,"WM",13.86
24/05/2019,"SC",11.51
24/05/2019,"WM",13.87
25/05/2019,"SC",11.17
25/05/2019,"WM",14.18
26/05/2019,"SC",11.39
26/05/2019,"WM",13.94
27/05/2019,"SC",11.03
27/05/2019,"WM",13.4
28/05/2019,"SC",10.91
28/05/2019,"WM",12.66
29/05/2019,"SC",10.08
29/05/2019,"WM",11.94
30/05/2019,"SC",11.38
30/05/2019,"WM",13.86
31/05/2019,"SC",11.6
31/05/2019,"WM",14.03
01/06/2019,"SC",12.7
01/06/2019,"WM",14.58
02/06/2019,"SC",12.81
02/06/2019,"WM",14.2
03/06/2019,"SC",12.14
03/06/2019,"WM",13.88
04/06/2019,"SC",12.41
04/06/2019,"WM",13.43
05/06/2019,"SC",11.8
05/06/2019,"WM",13.47
06/06/2019,"SC",11.86
06/06/2019,"WM",13.43
07/06/2019,"SC",12.3
07/06/2019,"WM",12.39
08/06/2019,"SC",12.48
08/06/2019,"WM",11.83
09/06/2019,"SC",12.37
09/06/2019,"WM",12.85
10/06/2019,"SC",12.6
10/06/2019,"WM",11.46
11/06/2019,"SC",12.5
11/06/2019,"WM",9.85
12/06/2019,"SC",11.91
12/06/2019,"WM",10.97
13/06/2019,"SC",11.61
13/06/2019,"WM",11.48
14/06/2019,"SC",11.63
14/06/2019,"WM",12.23
15/06/2019,"SC",11.9
15/06/2019,"WM",12.53
16/06/2019,"SC",12.32
16/06/2019,"WM",13.45
17/06/2019,"SC",12.29
17/06/2019,"WM",13.8
18/06/2019,"SC",12.53
18/06/2019,"WM",13.75
19/06/2019,"SC",12.67
19/06/2019,"WM",13.91
20/06/2019,"SC",11.9
20/06/2019,"WM",13.77
21/06/2019,"SC",12.18
21/06/2019,"WM",13.76
22/06/2019,"SC",12.98
22/06/2019,"WM",14.3
23/06/2019,"SC",13.55
23/06/2019,"WM",14.35
24/06/2019,"SC",13.12
24/06/2019,"WM",14.56
25/06/2019,"SC",13.67
25/06/2019,"WM",14.1
26/06/2019,"SC",13.93
26/06/2019,"WM",13.72
27/06/2019,"SC",14.53
27/06/2019,"WM",14.12
28/06/2019,"SC",14.53
28/06/2019,"WM",14.54
29/06/2019,"SC",14.35
29/06/2019,"WM",14.9
30/06/2019,"SC",13.89
30/06/2019,"WM",14.9
01/07/2019,"SC",13.54
01/07/2019,"WM",14.44
02/07/2019,"SC",13.32
02/07/2019,"WM",14.19
03/07/2019,"SC",13.33
03/07/2019,"WM",14.47
04/07/2019,"SC",13.14
04/07/2019,"WM",14.84
05/07/2019,"SC",13.22
05/07/2019,"WM",14.9
06/07/2019,"SC",13.54
06/07/2019,"WM",14.39
07/07/2019,"SC",13.45
07/07/2019,"WM",14.53
08/07/2019,"SC",13.36
08/07/2019,"WM",14.45
09/07/2019,"SC",13.23
09/07/2019,"WM",14.68
10/07/2019,"SC",13.7
10/07/2019,"WM",14.77
11/07/2019,"SC",13.99
11/07/2019,"WM",14.8
12/07/2019,"SC",14.23
12/07/2019,"WM",14.73
13/07/2019,"SC",14.2
13/07/2019,"WM",14.53
14/07/2019,"SC",14.24
14/07/2019,"WM",14.33
15/07/2019,"SC",14.39
15/07/2019,"WM",14.49
16/07/2019,"SC",14.38
16/07/2019,"WM",14.82
17/07/2019,"SC",13.74
17/07/2019,"WM",14.9
18/07/2019,"SC",13.73
18/07/2019,"WM",14.68
19/07/2019,"SC",13.75
19/07/2019,"WM",14.32
20/07/2019,"SC",13.92
20/07/2019,"WM",14.61
21/07/2019,"SC",13.86
21/07/2019,"WM",14.78
22/07/2019,"SC",14.51
22/07/2019,"WM",14.9
23/07/2019,"SC",14.53
23/07/2019,"WM",14.9
24/07/2019,"SC",14.53
24/07/2019,"WM",14.9
25/07/2019,"SC",14.53
25/07/2019,"WM",14.9
26/07/2019,"SC",14.53
26/07/2019,"WM",14.9
27/07/2019,"SC",14.49
27/07/2019,"WM",14.9
28/07/2019,"SC",14.53
28/07/2019,"WM",14.25
29/07/2019,"SC",14.38
29/07/2019,"WM",14.9
30/07/2019,"SC",14.49
30/07/2019,"WM",14.53
31/07/2019,"SC",14.53
31/07/2019,"WM",14.46
01/08/2019,"SC",14.53
01/08/2019,"WM",14.69
02/08/2019,"SC",14.53
02/08/2019,"WM",14.9
03/08/2019,"SC",14.53
03/08/2019,"WM",14.9
04/08/2019,"SC",14.53
04/08/2019,"WM",14.9
05/08/2019,"SC",14.4
05/08/2019,"WM",14.9
06/08/2019,"SC",14.05
06/08/2019,"WM",14.79
07/08/2019,"SC",14.05
07/08/2019,"WM",14.8
08/08/2019,"SC",14.17
08/08/2019,"WM",14.9
09/08/2019,"SC",14.01
09/08/2019,"WM",14.9
10/08/2019,"SC",14.37
10/08/2019,"WM",14.73
11/08/2019,"SC",13.42
11/08/2019,"WM",14.52
12/08/2019,"SC",12.92
12/08/2019,"WM",14.17
13/08/2019,"SC",13.04
13/08/2019,"WM",14.22
14/08/2019,"SC",12.82
14/08/2019,"WM",14.01
15/08/2019,"SC",13.25
15/08/2019,"WM",14.19
16/08/2019,"SC",13.55
16/08/2019,"WM",13.99
17/08/2019,"SC",13.35
17/08/2019,"WM",14.32
18/08/2019,"SC",13.22
18/08/2019,"WM",14.3
19/08/2019,"SC",13.32
19/08/2019,"WM",14.18
20/08/2019,"SC",13.27
20/08/2019,"WM",14.16
21/08/2019,"SC",13.11
21/08/2019,"WM",14.38
22/08/2019,"SC",13.36
22/08/2019,"WM",14.53
23/08/2019,"SC",13.85
23/08/2019,"WM",14.85
24/08/2019,"SC",14.33
24/08/2019,"WM",14.9
25/08/2019,"SC",14.53
25/08/2019,"WM",14.9
26/08/2019,"SC",14.5
26/08/2019,"WM",14.9
27/08/2019,"SC",14.15
27/08/2019,"WM",14.9
28/08/2019,"SC",13.8
28/08/2019,"WM",14.65
29/08/2019,"SC",13.39
29/08/2019,"WM",14.41
30/08/2019,"SC",13.44
30/08/2019,"WM",14.69
31/08/2019,"SC",13.2
31/08/2019,"WM",14.3
01/09/2019,"SC",12.85
01/09/2019,"WM",13.91
02/09/2019,"SC",12.65
